nome,nome_curto,endereco,cidade,estado,pais,cep,telefone,email,observacao,ativo
VACINA EPIDEMIOLOGIA,VACINA EPIDEM,,Guarapuava,PR,Brasil,,,,"Código: 0970972",sim
ESF XARQUINHO II,ESF XARQ II,,Guarapuava,PR,Brasil,,,,"Código: 9080635",sim
ESF SAO MIGUEL,ESF S MIGUEL,,Guarapuava,PR,Brasil,,,,"Código: 3584445",sim
ESF SANTA CRUZ,ESF STA CRUZ,,Guarapuava,PR,Brasil,,,,"Código: 2705753",sim
NUCLEO DE SAUDE DIGITAL,NUCLEO DIGITAL,,Guarapuava,PR,Brasil,,,,"Código: 0777897",sim
FARMACIA CENTRAL,FARM CENTRAL,,Guarapuava,PR,Brasil,,,,"Código: 0287202",sim
CAPS II GUARAPUAVA,CAPS II,,Guarapuava,PR,Brasil,,,,"Código: 2743221",sim
UPA 24H BATEL,UPA BATEL,,Guarapuava,PR,Brasil,,,,"Código: 7463227",sim
UNIDADE DE PRONTO ATENDIMENTO TRIANON,UPA TRIANON,,Guarapuava,PR,Brasil,,,,"Código: 2742853",sim
ESF ENTRE RIOS,ESF E RIOS,,Guarapuava,PR,Brasil,,,,"Código: 2741601",sim
ESF RIO DAS PEDRAS,ESF R PEDRAS,,Guarapuava,PR,Brasil,,,,"Código: 2741652",sim
SAE SERVICO DE ATENDIMENTO ESPECIALIZADO,SAE,,Guarapuava,PR,Brasil,,,,"Código: 2741792",sim
ESF JARDIM DAS AMERICAS,ESF JD AMERICAS,,Guarapuava,PR,Brasil,,,,"Código: 2743299",sim
ESF TANCREDO NEVES,ESF T NEVES,,Guarapuava,PR,Brasil,,,,"Código: 3016730",sim
ESF RESIDENCIAL 2000,ESF RESID 2000,,Guarapuava,PR,Brasil,,,,"Código: 3016749",sim
ESF ADAO KAMINSKI,ESF A KAMINSKI,,Guarapuava,PR,Brasil,,,,"Código: 3016838",sim
AMBULATORIO MUNICIPAL PNEUMOLOGIA E DERMATOLOGIA SANITARIA,AMB PNEUMO DERMA,,Guarapuava,PR,Brasil,,,,"Código: 2741369",sim
CAPS AD GUARAPUAVA,CAPS AD,,Guarapuava,PR,Brasil,,,,"Código: 6661297",sim
ESF PAZ E BEM,ESF PAZ BEM,,Guarapuava,PR,Brasil,,,,"Código: 3402843",sim
CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS GPUAVA,CEO,,Guarapuava,PR,Brasil,,,,"Código: 2741555",sim
ESF PRIMAVERA,ESF PRIMAVERA,,Guarapuava,PR,Brasil,,,,"Código: 2741644",sim
ESF RECANTO FELIZ,ESF R FELIZ,,Guarapuava,PR,Brasil,,,,"Código: 2743302",sim
ESF JORDAO,ESF JORDAO,,Guarapuava,PR,Brasil,,,,"Código: 2706180",sim
ESF BONSUCESSO,ESF BONSUCESSO,,Guarapuava,PR,Brasil,,,,"Código: 2741563",sim
ESF CAMPO VELHO,ESF C VELHO,,Guarapuava,PR,Brasil,,,,"Código: 2741598",sim
ESF MORRO ALTO,ESF M ALTO,,Guarapuava,PR,Brasil,,,,"Código: 2741636",sim
ESF VILA CARLI,ESF V CARLI,,Guarapuava,PR,Brasil,,,,"Código: 2741679",sim
SECRETARIA MUNICIPAL DE SAUDE VIGILANCIA EM SAUDE,VISA,,Guarapuava,PR,Brasil,,,,"Código: 6430651",sim
CENTRAL DE REGULACAO SAMU GUARAPUAVA,SAMU CENTRAL,,Guarapuava,PR,Brasil,,,,"Código: 6936210",sim
CAPS AD III INFANTO JUVENIL CIS 5 REGIONAL DE SAUDE,CAPS AD III INF,,Guarapuava,PR,Brasil,,,,"Código: 7513747",sim
CAPS AD III ADULTO CIS 5 REGIONAL DE SAUDE,CAPS AD III ADU,,Guarapuava,PR,Brasil,,,,"Código: 7513739",sim
ESF VILA FEROZ,ESF V FEROZ,,Guarapuava,PR,Brasil,,,,"Código: 6592171",sim
AMBULATORIO DE CURATIVOS ESPECIAIS GUARAPUAVA,AMB CURATIVOS,,Guarapuava,PR,Brasil,,,,"Código: 7513348",sim
ESF PARQUE DAS ARVORES,ESF PQ ARVORES,,Guarapuava,PR,Brasil,,,,"Código: 3091139",sim
ESF PLANALTO,ESF PLANALTO,,Guarapuava,PR,Brasil,,,,"Código: 3091120",sim
SAMU BRAVO II GUARAPUAVA,SAMU BRAVO II,,Guarapuava,PR,Brasil,,,,"Código: 7423780",sim
ESF GUAIRACA,ESF GUAIRACA,,Guarapuava,PR,Brasil,,,,"Código: 2742365",sim
LABORATORIO MUNICIPAL GUARAPUAVA,LAB MUNICIPAL,,Guarapuava,PR,Brasil,,,,"Código: 6397972",sim
SAMU BRAVO I GUARAPUAVA,SAMU BRAVO I,,Guarapuava,PR,Brasil,,,,"Código: 7423802",sim
SAMU ALFA GUARAPUAVA,SAMU ALFA,,Guarapuava,PR,Brasil,,,,"Código: 7423810",sim
MELHOR EM CASA GUARAPUAVA,MELHOR CASA,,Guarapuava,PR,Brasil,,,,"Código: 7429711",sim
ESF SAO CRISTOVAO,ESF S CRIST,,Guarapuava,PR,Brasil,,,,"Código: 3409635",sim
UNIDADE DE PRONTO ATENDIMENTO PRIMAVERA,UPA PRIMAVERA,,Guarapuava,PR,Brasil,,,,"Código: 9917233",sim
ESF VILA COLIBRI,ESF V COLIBRI,,Guarapuava,PR,Brasil,,,,"Código: 2743310",sim
ESF CONCORDIA,ESF CONCORDIA,,Guarapuava,PR,Brasil,,,,"Código: 3016773",sim
ESF JARDIM ARAUCARIA,ESF JD ARAUCARIA,,Guarapuava,PR,Brasil,,,,"Código: 3584461",sim
SERVICO DE RADIOLOGIA MUNICIPAL GUARAPUAVA,RADIOLOGIA MUN,,Guarapuava,PR,Brasil,,,,"Código: 6483798",sim
ESF XARQUINHO,ESF XARQUINHO,,Guarapuava,PR,Brasil,,,,"Código: 2706164",sim
ESF VILA BELA,ESF V BELA,,Guarapuava,PR,Brasil,,,,"Código: 2706172",sim
ESF PALMEIRINHA,ESF PALMEIRINHA,,Guarapuava,PR,Brasil,,,,"Código: 2706199",sim
CENTRO DE SAUDE DA MULHER,CENTRO MULHER,,Guarapuava,PR,Brasil,,,,"Código: 3016811",sim
ESF BOQUEIRAO,ESF BOQUEIRAO,,Guarapuava,PR,Brasil,,,,"Código: 2741571",sim
ESF GUARA,ESF GUARA,,Guarapuava,PR,Brasil,,,,"Código: 2741628",sim
ESF SANTANA,ESF SANTANA,,Guarapuava,PR,Brasil,,,,"Código: 2741660",sim
ESF ENTRE RIOS II,ESF E RIOS II,,Guarapuava,PR,Brasil,,,,"Código: 3722988",sim
ESF PALMEIRINHA VOLANTE,ESF PALM VOLANTE,,Guarapuava,PR,Brasil,,,,"Código: 4465482",sim
DIVISAO DE PERICIA MEDICA,PERICIA MEDICA,,Guarapuava,PR,Brasil,,,,"Código: 4465369",sim
SAMU ALFA 02 GUARAPUAVA,SAMU ALFA 02,,Guarapuava,PR,Brasil,,,,"Código: 4403460",sim
DIVISAO DE SEGURANCA E MEDICINA DO TRABALHO,SEGUR MED TRAB,,Guarapuava,PR,Brasil,,,,"Código: 4560604",sim
ESF CENTRO GEORGE KARAM,ESF G KARAM,,Guarapuava,PR,Brasil,,,,"Código: 4847636",sim
